Date,Brand,Product Description,Reason / Problem,Company
10/30/2018,"WP Westminster, more","Irbesartan Tablets, USP 75 mg, 150 mg, and 300 mg dosage forms","due to the presence of an impurity, N-nitrosodiethylamine (NDEA)","ScieGen Pharmaceuticals, Inc"
10/26/2018,Aurobindo Pharma Limited,Irbesartan Drug,"Due to the presence of an impurity, N-nitrosodiethylamine (NDEA)",Aurobindo Pharma Limited
10/22/2018,Promise Pharmacy,Prednisolone and Gatifloxacin Ophthalmic Solution,Unidentified small particulate floating in the solution,Promise Pharmacy
10/15/2018,Zero Xtreme,Dietary Supplement for Weight Loss,Undeclared Sibutramine,Fat Burners Zone
10/10/2018,ReGen Series,All ReGen Series products,Adverse reactions,"Liveyon, LLC"
10/9/2018,Sprayology,Homeopathic Aqueous-Based Medicines,Possible microbial contamination,"Eight and Company LLC, dba Sprayology"
10/3/2018,"Pet Alive, Native Remedies, Healthful Naturals",Homeopathic Drug Products (liquid),Microbial Contamination,"Silver Star Brands, Inc."
9/28/2018,Endo Pharmaceuticals,"Robaxin® (methocarbamol tablets, USP) 750mg Tablets",Due to Incorrect Daily Dosing Information on Label,Endo Pharmaceuticals
9/12/2018,NeoRelief,Muscle,Due to possible microbial contamination,BioLyte Laboratories
9/10/2018,Pharm D Solutions,Compounded drugs,Lack of Sterility Assurance,Pharm D Solutions LLC
9/6/2018,SCA Pharmaceuticals,Furosemide 100 mg in 0.9% Sodium Chloride 100 mg bag,visible particulate matter,SCA Pharmaceuticals LLC (“SCA Pharma”)
9/5/2018,Camber Pharmaceuticals,"Montelukast Sodium Tablets, USP 10mg",Product label mix up/may contain Losartan Potassium Tablets,"Camber Pharmaceuticals, Inc"
9/5/2018,Beaumont Bio Med Homeopathic,Homeopathic oral sprays,Microbial contamination,"Beaumont Bio Med, Inc."
8/29/2018,"Neuroveen, Respitrol, Thyroveev, Compulsin",Homeopathic Medicines,Possible Microbial Contamination,"HelloLife, Inc."
8/29/2018,CyPass,Micro-Stent,Significant endothelial cell loss,Alcon
8/28/2018,"CVS, Rhinall, Humist, more",Nasal Products and Baby Oral Gels,Pseudomonas aeruginosa contamination,Product Quest Manufacturing LLC
8/27/2018,Accord,Hydrochlorothiazide Tablets USP 12.5 mg,Labeling mix-up/may contain Spironolactone Tablets,Accord Healthcare Inc.
8/27/2018,Children’s Advil,Ibuprofen Oral Suspension,Dosage cup has incorrect measurement markings,"Pfizer, Inc."
8/23/2018,Torrent Pharmaceuticals Limited,Valsartan/Amlodipine/HCTZ; Valsartan/Amlodipine; and Valsartan tablets,Impurity detected in the API is N-nitrosodimethylamine (NDMA),Torrent Pharmaceuticals Limited
8/22/2018,"KB, DK, more",Homeopathic products,Microbial contamination,King Bio
8/17/2018,Torrent,Valsartan/Amlodipine/HCTZ Tablets,Impurity detected in the API is N-nitrosodimethylamine (NDMA),Torrent Pharmaceuticals
8/13/2018,Blissful Remedies,Products Containing Kratom,High microbial load,"World Organix, LLC"
8/9/2018,"Westminster Pharmaceuticals, LLC","Levothyroxine and Liothyronine (Thyroid Tablets, USP) 15 mg, 30 mg, 60 mg, 90 mg, & 120 mg",Risk of Adulteration,"Westminster Pharmaceuticals, LLC"
8/8/2018,CVS Health,12 Hour Sinus Relief Nasal Mist,Product was found to contain Pseudomonas aeruginosa,Product Quest Manufacturing (“Product Quest”)
8/8/2018,"Camber Pharmaceuticals, Inc.","Valsartan Tablets, USP, 40mg, 80mg, 160mg and 320mg",Detection of trace amounts of N-Nitrosodimethylamine (NDMA),"Camber Pharmaceuticals, Inc."
7/31/2018,Auromedics,"Piperacillin and Tazobactam for injection, USP 3.375 g",Glass and silicone particulate matter,AuroMedics Pharma
7/28/2018,Ranier's RX Laboratory,Compounded drug products,Sterility concerns,Ranier's RX Laboratory
7/20/2018,"Dr. King’s, Dr. King’s Aquaflora","Homeopathic liquids: Candida liquid, lymph detox liquid, baby teething liquid","microbial contaminants Pseudomonas Brenneri, Pseudomonas Fluroescens and Burkholderia Multivorans.",King Bio Inc.
7/17/2018,Actavis,Valsartan and Valsartan Hydrochlorothiazide Tablets,Impurity detected in the API is Nnitrosodimethylamine (NDMA),Teva Pharmaceuticals USA
7/17/2018,Prinston Pharmaceutical Inc. dba Solco Healthcare LLC,"Valsartan Tablets, 40 mg, 80mg, 160mg, and 320mg; and Valsartan-Hydrochlorothiazide Tablets, 80mg/12.5mg, 160mg/12.5mg, 160mg/25mg, 320mg/12.5mg, and 320mg/25mg","Detection of a Trace Amount of Unexpected Impurity, N- nitrosodimethylamine (NDMA)",Prinston Pharmaceutical Inc. dba Solco Healthcare LLC
7/13/2018,Major Pharmaceuticals,"Valsartan tablets, 80mg USP and 160 mg USP",may contain the probable carcinogen Nnitrosodimethylamine (NDMA),Major Pharmaceuticals
6/30/2018,Kratom Powder Capsule,Kratom Powder Capsule,Potential Salmonella Contamination,Blissful Remedies
6/29/2018,Fagron Sterile Services,Neostigmine Methylsulfate 5 mL Syringes,Mislabeling,Fagron Sterile Services
6/28/2018,Hospira,"Daptomycin for Injection 500 mg, Lyophilized Powder For Solution, Single Dose Vial",Causes Infusion Reactions,Hospira Inc.
6/21/2018,Gaia Ethnobotanical,Kratom Products,Potential Salmonella contamination,"Gaia Ethnobotanical, LLC"
6/4/2018,Hospira,"Naloxone Hydrochloride Injection, USP, 0.4 mg/mL, 1 mL in 2.5 mL in the Carpuject™ Single-use cartridge Syringe System",Potential Presence of Particulate Matter,Hospira Inc.
5/31/2018,Apotex,Fluticasone Propionate Nasal Spray,Potential for small glass particles,Apotex Corp.
5/29/2018,Taytulla,Birth control capsules,Out of order packaging,Allergan
5/25/2018,"X-Jow, Acne Shave","Pain Gel, Moisturizer, Shave Cream",Products may be contaminated with bacteria,Shadow Holdings
5/18/2018,"MBI Distributing, Inc.",Various Homeopathic Products,Lack of adequate manufacturing controls,"MBI Distributing, Inc."
5/17/2018,7K and Poseidon,7K and Poseidon 4500 Dietary Supplements,Undeclared Sildenafil and Tadalafil,Shoreside Enterprises
5/14/2018,Apotex Corporation,Piperacillin and Tazobactam for Injection,Elevated level of impurities,Apotex Corporation
5/14/2018,AuroMedics Pharma LLC,"Piperacillin and Tazobactam for injection, USP 3.375 g/vial",Presence of glass particulates,AuroMedics Pharma LLC
5/4/2018,HeartMate 3,Left Ventricular Assist Device,Outflow graft twisting could occur post-implant,Abbott
5/3/2018,AuroMedics Pharma LLC,"Ampicillin and Sulbactam for Injection USP, 3 grams/ Single-Dose vial",Presence of visible particulate matter,AuroMedics Pharma LLC
4/12/2018,AMA Wholesale Inc.,Rhino 69 Extreme 50000 capsules,Unapproved New Drug (Presence of Tadalafil),AMA Wholesale Inc.
4/11/2018,Premier Pharmacy Labs,Sterile Injectable Drug Products,Potential lack of sterility assurance,Premier Pharmacy Labs
3/29/2018,PASTA DE LASSAR ANDROMACO,Pasta De Lassar Andromaco Skin Protectant,"Potential for contamination with yeast, mold, and bacteria","MarcasUSA, LLC"
3/29/2018,PASTA DE LASSAR ANDROMACO,Pasta De Lassar Andromaco Skin Protectant,"Potential for contamination with yeast, mold, and bacteria","MarcasUSA, LLC"
3/22/2018,BD,Vacutainer tubes,Concerns about inaccurate lead test results and updating instruction for use,BD
3/15/2018,Bayer,Alka-Seltzer Plus,Labeling Error,Bayer
3/5/2018,"Hospira, Inc.","Hydromorphone HCL Injection, USP",Units may be empty or cracked at the bottom of the glass vial,"Hospira, Inc."
3/5/2018,Sagent,"Methylprednisolone Sodium Succinate for Injection, USP 40mg, 125mg, and 1g",Out of Specification Impurity Results,Sagent Pharmaceuticals
2/23/2018,"Hospira, Novaplus","Labetalol Hydrochloride Injection, USP",Cracked Glass At The Rim Surface Of The Vials,"Hospira, Inc."
2/15/2018,AVpak,"Acyclovir Tablet, USP, 400mg, 50ct Unit Dose",Product mix-up,Apace Packaging LLC
1/29/2018,Gericare,Sterile Eye Irrigation Solution,Potential microbial contamination which compromises sterility,Kareway Products Inc.
1/26/2018,Limbrel,"Limbrel, Limbrel 250, Limbrel 500",Due to potential serious side effects,"Primus Pharmaceuticals, Inc."
1/19/2018,Basic Drugs,Senna Laxative,Mislabeling,"Magno-Humphries Laboratories, Inc."
1/16/2018,Nexterone,Nexterone 150mg/100ml injection,Presence of particulate matter,Baxter International Inc.
1/12/2018,AuroMedics,Levofloxacin in 5% Dextrose Injection 250mg/50mL,Particulate Matter,AuroMedics Pharma LLC
1/11/2018,PharMEDium Services LLC,Various compounded drug products intended to be sterile,Lack of sterility assurance,PharMEDium Services LLC
1/10/2018,"International Laboratories, LLC","Clopidogrel Tablets USP, 75 mg",Due to mis-labeling,"International Laboratories, LLC"
1/9/2018,AuroMedics Pharma LLC,Ampicillin and Sulbactam for Injection USP,Presence of glass particles,AuroMedics Pharma LLC
